sex,age,address,Medu,Fedu,Mjob,Fjob,studytime,failures,famsup,tuition,internet,freetime,goout,health,absences,G3,Pass/fail
F,18,U,4,4,at_home,teacher,2,0,no,no,no,3,4,3,6,6,fail
F,17,U,1,1,at_home,other,2,0,yes,yes,yes,3,3,3,4,6,fail
F,15,U,1,1,at_home,other,2,3,no,no,yes,3,2,3,10,10,pass
F,15,U,4,2,health,services,3,0,yes,yes,yes,2,2,5,2,15,pass
F,16,U,3,3,other,other,2,0,yes,yes,no,3,2,5,4,10,pass
M,16,U,4,3,services,other,2,0,yes,yes,yes,4,2,5,10,15,pass
M,16,U,2,2,other,other,2,0,no,no,yes,4,4,3,0,11,pass
F,17,U,4,4,other,teacher,2,0,yes,yes,no,1,4,1,6,6,fail
M,15,U,3,2,services,other,2,0,yes,yes,no,2,2,1,0,19,pass
M,15,U,3,4,other,other,2,0,yes,yes,no,5,1,5,0,15,pass
F,15,U,4,4,teacher,health,2,0,yes,yes,yes,3,3,2,0,9,pass
F,15,U,2,1,services,other,3,0,yes,yes,yes,2,2,4,4,12,pass
M,15,U,4,4,health,services,1,0,yes,,yes,3,3,5,2,14,pass
Man,15,U,4,3,teacher,other,2,0,yes,,yes,4,3,3,2,11,pass
M,15,U,2,2,other,other,3,0,yes,,yes,5,2,3,0,16,pass
F,16,U,4,4,health,other,1,0,yes,,yes,4,4,2,4,14,pass
F,16,U,4,4,services,services,3,0,yes,yes,yes,2,3,2,6,14,pass
F,16,U,3,3,other,other,2,0,yes,yes,no,3,2,4,4,10,pass
M,17,U,3,2,services,services,1,3,yes,yes,yes,5,5,5,16,5,fail
M,16,U,4,3,health,other,1,0,no,no,yes,1,3,5,4,10,pass
M,15,U,4,3,teacher,other,2,0,no,no,yes,4,1,1,0,15,pass
M,15,U,4,4,health,health,1,0,yes,yes,yes,4,2,5,0,15,pass
M,16,U,4,2,teacher,other,2,0,no,no,yes,5,1,5,2,16,pass
M,16,U,2,2,other,other,2,0,yes,yes,yes,4,4,5,0,12,pass
F,15,R,2,4,services,health,3,0,yes,yes,yes,3,2,5,2,8,fail
F,16,U,2,2,services,services,1,2,yes,yes,yes,2,2,5,14,8,fail
M,15,U,2,2,other,other,1,0,yes,yes,yes,2,2,5,2,11,pass
M,15,U,4,2,health,services,1,0,no,no,yes,2,4,1,4,15,pass
M,16,U,3,4,services,other,2,0,yes,yes,yes,3,3,5,4,11,pass
M,16,U,4,4,teacher,teacher,2,0,yes,yes,yes,4,5,5,16,11,pass
M,15,U,4,4,health,services,2,0,yes,yes,yes,4,2,5,0,12,pass
M,15,U,4,4,services,services,2,0,yes,yes,yes,3,1,5,0,17,pass
M,15,R,4,3,teacher,at_home,2,0,yes,yes,yes,5,2,5,0,16,pass
M,15,U,3,3,other,other,2,0,no,no,yes,3,2,2,0,12,pass
